,Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually Impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status,Expert Status
0,16.wmv,,,,1.0,,,,,,,,,,,,3
1,17.wmv,,,1.0,,,,,,,,,,,,,1
2,20.wmv,,,,,1.0,,,Close to blind,,,,,,,,2
3,20070210145009.mpg,,,,1.0,,,,,,,,,,,,3
4,20070223132319.mpg,,,,1.0,,,,,,,,,,,,3
5,20070227135000.mpg,,,1.0,,,,,probably it could see big objects,,,,,,,,1
6,20070302122033.mpg,,,1.0,,,,,doesn’t move at all,,,,,,,,1
7,20070308144052.mpg,,,1.0,,,,,,,,,,,,,1
8,20070309160804.mpg,,,1.0,,,,,,,,,,,,,1
9,20070311141354.mpg,,,1.0,,,,,,,,,,,,,1
10,20070312140305.mpg,,,1.0,,,,,,,,,,,,,1
11,20070420171115.mpg,,,1.0,,,,,,,,,,,,,1
12,20070423142706.mpg,,,,,,,,doesn’t move at all,,,,,,,,
13,20070503144341.mpg,,,,1.0,,,,,,,,,,,,3
14,20070503160507.mpg,,,1.0,,,,,,,,,,,,,1
15,20070710180307.mpg,,,1.0,,,,,,,,,,,,,1
16,20070717130915.mpg,,,,1.0,,,,,,,,,,,,3
17,20070719184219.mpg,,,1.0,,,,,,,,,,,,,1
18,20070719184337.mpg,,,1.0,,,,,,,,,,,,,1
19,20070720165025.mpg,,,1.0,,,,,,,,,,,,,1
20,20070921151336.mpg,,,1.0,,,,,,,,,,,,,1
21,20070928184618.mpg,,,1.0,,,,,,,,,,,,,1
22,20071105135154.mpg,,,1.0,,,,,,,,,,,,,1
23,20071116152500.mpg,,,1.0,,,,,,,,,,,,,1
24,20080102133723.mpg,,,1.0,,,,,,,,,,,,,1
25,20080107130144.mpg,,,1.0,,,,,,,,,,,,,1
26,20080111141736.mpg,,,1.0,,,,,,,,,,,,,1
27,20080131145638.mpg,,,1.0,,,,,,,,,,,,,1
28,20080214155214.mpg,,,1.0,,,,,,,,,,,,,1
29,20080219192259.mpg,,,1.0,,,,,,,,,,,,,1
30,20080221181159.mpg,,,1.0,,,,,,,,,,,,,1
31,20080222134400.mpg,,,,1.0,,,,,,,,,,,,3
32,20081027155213.mpg,,,,,1.0,,,probably had decreased sight,,,,,,,,2
33,20081031170854.mpg,,,1.0,,,,,,,,,,,,,1
34,20081104123844.mpg,,,1.0,,,,,,,,,,,,,1
35,20081106124343.mpg,,,1.0,,,,,,,,,,,,,1
36,20081106132506.mpg,,,,,1.0,,,there is no enough data,,,,,,,,2
37,20081106140817.mpg,,,1.0,,,,,suspicious,,,,,,,,1
38,20081117105729.mpg,,,,1.0,,,,,,,,,,,,3
39,20081117164112.mpg,,,1.0,,,,,,,,,,,,,1
40,20081120105249.mpg,,,,,1.0,,,,,,,,,,,2
41,20081125111907.mpg,,,,1.0,,,,,,,,,,,,3
42,20081128110242.mpg,,,,,1.0,,,,,,,,,,,2
43,20081215112334.mpg,,,,1.0,,,,,,,,,,,,3
44,20081223145927.mpg,,,,1.0,,,,,,,,,,,,3
45,20090105115951.mpg,,,1.0,,,,,,,,,,,,,1
46,20090108124601.mpg,,,1.0,,,,,,,,,,,,,1
47,20090109191210.mpg,,,1.0,,,,,,,,,,,,,1
48,20090120114621.mpg,,,1.0,,,,,,,,,,,,,1
49,20090123122828.mpg,,,,1.0,,,,,,,,,,,,3
50,20090123123012.mpg,,,1.0,,,,,,,,,,,,,1
51,20090123151554.mpg,,,,1.0,,,,,,,,,,,,3
52,20090126110954.mpg,,,,,1.0,,,,,,,,,,,2
53,20120329012612.mpg,,,,,1.0,,,,,,,,,,,2
54,20120406002638.mpg,,,1.0,,,,,,,,,,,,,1
55,20120601212758.mpg,,,1.0,,,,,,,,,,,,,1
56,20131120_164243.mp4,,,,,,,,,,,42.0,114.0,7.0,1457.047225,2,
57,20131123_105855.mp4,,,1.0,,,,,,,,83.0,111.0,10.0,945.6420912,2,1
58,20140221_132236.mp4,,,,,1.0,,,,,,39.0,136.0,19.0,1151.810789,2,2
59,20140515_123936.mp4,,,,,1.0,,,,,,34.0,71.0,10.0,983.4022559,2,2
60,20140711_124858.mp4,,,,,1.0,,,there is no enough data,,,57.0,98.0,12.0,892.4961946,2,2
61,20140822_131700.mp4,,,,1.0,,,,,,,9.0,37.0,4.0,1333.658913,2,3
62,20140904_104612.mp4,,,1.0,,,,,,,,74.0,107.0,13.0,1061.94878,2,1
63,20140905_132014.mp4,,,,1.0,,,,,,,12.0,45.0,5.0,1397.731809,2,3
64,20141016_153628.mp4,,,1.0,,,,,,,,5.0,32.0,2.0,1360.001096,1,1
65,20150116_130548.mp4,,,1.0,,,,,,,,9.0,29.0,2.0,1349.22126,2,1
66,20150520_141835.mp4,,,,,1.0,,,,,,29.0,79.0,14.0,1083.591593,2,2
67,20150829_104056.mp4,,,,1.0,,,,,,,26.0,45.0,6.0,895.1087758,2,3
68,20150831_161350.mp4,,,,,,,,it was too darkmovie!,,,48.0,43.0,10.0,409.8746703,2,
69,20151016_114556.mp4,,,,,1.0,,,,,,31.0,58.0,12.0,1006.269628,2,2
70,20151120_113326.mp4,,,,,1.0,,,,,,37.0,63.0,10.0,1082.628988,2,2
71,20160520223156.mpg,,,,,1.0,,,,,,,,,,,2
72,20160522221127.mpg,,,,,1.0,,,,,,,,,,,2
73,20160525211416.mpg,,,,1.0,,,,,,,,,,,,3
74,20160525213136.mpg,,,1.0,,,,,,,,,,,,,1
75,20160525213434.mpg,,,,,1.0,,,,,,,,,,,2
76,20160527235156.mpg,,,1.0,,,,,,,,,,,,,1
77,20160528001053.mpg,,,1.0,,,,,,,,,,,,,1
78,20160605214326.mpg,,,,,1.0,,,,,,,,,,,2
79,20160612232630.mpg,,,1.0,,,,,,,,,,,,,1
80,20160710221331.mpg,,,1.0,,,,,,,,,,,,,1
81,20160731231833.mpg,,,,,1.0,,,,,,,,,,,2
82,20160828215838.mpg,,,1.0,,,,,,,,,,,,,1
83,2017-10-23_14-15-22_000.MOV,,,1.0,,,,,,,,20.0,33.0,7.0,850.0669206,2,1
84,2017-11-07_10-03-44_000.MOV,,,,1.0,,,,,,,3.0,15.0,1.0,1595.531581,1,3
85,2018-02-19_11-41-30_000.MOV,,,1.0,,,,,,,,9.0,13.0,2.0,1184.713159,2,1
86,2018-03-06_09-19-39_000.MOV,,,,,1.0,,,,,,7.0,15.0,1.0,1163.3575,1,2
87,2018-03-20_11-31-20_000.MOV,,,,,1.0,,,,,,17.0,24.0,2.0,1063.143125,2,2
88,2018-04-06_12-13-43_000.MOV,,,1.0,,,,,,,,10.0,18.0,0.0,1112.420968,2,1
89,2018-04-13_11-09-53_000.MOV,,,,,1.0,,,appears with problems but didnt meet any object. lucky?,,,13.0,29.0,4.0,1342.989804,2,2
90,2018-05-11_15-06-40_000.MOV,,,,1.0,,,,,,,1.0,11.0,0.0,1585.767255,1,3
91,2018-05-14_09-08-01_000.MOV,,,1.0,,,,,,,,9.0,44.0,6.0,1559.128321,2,1
92,2018-05-14_10-59-29_000.MOV,,,,,1.0,,,there is no enough data,,,5.0,28.0,7.0,1583.580169,1,2
93,2018-05-14_12-58-06_000.MOV,,,,,1.0,,,,,,21.0,37.0,7.0,923.4328321,2,2
94,2018-05-15_10-45-55_000.MOV,,,1.0,,,,,,,,10.0,27.0,3.0,934.4063991,2,1
95,2018-05-18_13-53-49_000.MOV,,,,,1.0,,,there is no enough data,,,11.0,34.0,4.0,1255.90105,2,2
96,2018-07-13_10-34-02_000.MOV,,,,1.0,,,,,,,2.0,17.0,1.0,1705.842921,1,3
97,2018-07-30_11-12-38_000.MOV,,,1.0,,,,,,,,2.0,28.0,2.0,1727.014729,1,1
98,2018-08-03_10-19-05_000.MOV,,,1.0,,,,,,,,2.0,20.0,0.0,1665.899785,1,1
99,2018-09-07_09-24-20_000.MOV,,,1.0,,,,,,,,7.0,15.0,2.0,1029.6134,1,1
100,2018-09-07_11-03-09_000.MOV,,,1.0,,,,,there is no enough data,,,7.0,35.0,8.0,1355.716165,1,1
101,2018-11-02_13-53-45_000.MOV,,,,1.0,,,,,,,8.0,29.0,5.0,955.6932607,2,3
102,2018-11-09_15-17-04_000.MOV,,,1.0,,,,,,,,29.0,31.0,5.0,625.8304182,2,1
103,2018-12-04_14-04-19_000.MOV,,,,1.0,,,,,,,6.0,9.0,0.0,1131.541662,1,3
104,2018-12-07_10-26-56_000.MOV,,,,1.0,,,,,,,7.0,13.0,2.0,968.9494164,1,3
105,2019-02-22_12-24-22_000.MOV,,,1.0,,,,,,,,33.0,61.0,13.0,1050.792761,2,1
106,2019-02-26_10-54-22_000.MOV,,,,1.0,,,,there is no enough data,,,24.0,41.0,9.0,819.2927292,2,3
107,2019-03-01_11-30-11_000.MOV,,,,1.0,,,,,,,29.0,26.0,3.0,783.6725024,2,3
108,2019-03-05_12-10-54_000.MOV,,,,1.0,,,,,,,17.0,48.0,3.0,924.9658846,2,3
109,2019-03-08_10-00-30_000.MOV,,,,1.0,,,,,,,1.0,16.0,0.0,1864.897016,1,3
110,2019-03-18_09-51-32_000.MOV,,,1.0,,,,,there is no enough data,,,9.0,20.0,4.0,1239.128892,2,1
111,2019-03-29_13-35-17_000.MOV,,,1.0,,,,,,,,27.0,74.0,22.0,818.4358718,2,1
112,2019-04-15_10-41-22_000.MOV,,,,1.0,,,,,,,4.0,15.0,0.0,1349.144257,1,3
113,2019-05-10_12-31-50_000.MOV,,,1.0,,,,,there is no enough data,,,23.0,29.0,4.0,858.9657507,2,1
114,2019-05-17_11-54-36_000.MOV,,,,,1.0,,,there is no enough data,,,29.0,39.0,9.0,816.2900398,2,2
115,2019-06-14_13-29-15_000.MOV,,,,,1.0,,,,,,11.0,37.0,5.0,1105.669434,2,2
116,2019-06-14_14-06-34_000.MOV,,,,1.0,,,,I guess it was actually column 3,,,9.0,25.0,3.0,945.4529086,2,3
117,2019-06-25_09-41-39_000.MOV,,,1.0,,,,,,,,15.0,64.0,17.0,1026.778064,2,1
118,2019-06-28_11-52-16_000.MOV,,,,,1.0,,,or is too shame or cannot see well,,,21.0,37.0,4.0,961.6332979,2,2
119,2019-07-09_10-49-39_000.MOV,,,,1.0,,,,,,,7.0,34.0,2.0,1406.046023,1,3
120,2019-07-09_11-20-21_000.MOV,,,1.0,,,,,,,,7.0,19.0,4.0,915.3010195,1,1
121,2019-08-06_11-16-27_000.MOV,,,,,1.0,,,no info,,,19.0,52.0,8.0,1015.237214,2,2
122,2019-09-27_13-07-06_000.MOV,,,,,1.0,,,,,,14.0,20.0,6.0,699.8168361,2,2
123,2019-10-18_13-07-53_000.MOV,,,,1.0,,,,,,,10.0,26.0,1.0,1285.167152,2,3
124,2019-12-03_12-08-12_000.MOV,,,,,1.0,,,no info,,,8.0,24.0,6.0,1087.173997,2,2
125,2019-12-06_10-10-47_000.MOV,,,1.0,,,,,,,,26.0,25.0,3.0,706.9917125,2,1
126,2020-01-03_11-11-16_000.MOV,,,1.0,,,,,,,,5.0,23.0,3.0,894.2470795,1,1
127,2020-01-03_13-49-48_000.MOV,,,,1.0,,,,,,,3.0,22.0,1.0,1477.436062,1,3
128,2020-02-14_09-50-10_000.MOV,,,1.0,,,,,,,,13.0,52.0,16.0,1055.122668,2,1
129,2020-03-03_11-50-13_000.MOV,,,,1.0,,,,,,,5.0,27.0,5.0,1333.527951,1,3
130,2020-04-23_16-23-01_000.MOV,,,,1.0,,,,suspicious,,,20.0,21.0,5.0,812.1977822,2,3
131,2020-05-07_09-48-40_000.MOV,,,,1.0,,,,,,,25.0,58.0,9.0,1067.600717,2,3
132,2020-05-21_13-19-02_000.MOV,,,,1.0,,,,,,,32.0,30.0,8.0,621.0903663,2,3
133,2020-05-28_12-01-34_000.MOV,,,,1.0,,,,,,,14.0,32.0,5.0,1120.622424,2,3
134,2020-06-04_11-57-49_000.MOV,,,,1.0,,,,,,,6.0,24.0,3.0,1179.468634,1,3
135,2020-06-18_10-20-08_000.MOV,,,,,1.0,,,,,,38.0,50.0,10.0,695.0955921,2,2
136,2020-06-18_10-53-05_000.MOV,,,1.0,,,,,,,,27.0,42.0,9.0,870.9089788,2,1
137,2020-07-03_10-45-54_000.MOV,,,,,1.0,,,didn’t hit anything but the head position was suspicions,,,14.0,31.0,4.0,1198.095242,2,2
138,2020-07-03_13-06-58_000.MOV,,,,,1.0,,,almost blind but could see big black things,,,10.0,26.0,3.0,1120.856719,2,2
139,2020-07-03_14-02-26_000.MOV,,,,,1.0,,,"doesn’t look ok, but no enough info",,,29.0,76.0,15.0,971.2334303,2,2
140,2020-07-09_09-42-15_000.MOV,,,1.0,,,,,blind or with decreased sight,,,15.0,24.0,5.0,1074.161631,2,1
141,2020-07-14_13-26-52_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,3.0,18.0,6.0,1134.257267,1,1
