Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually Impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
16.wmv,,,,1.0,,,,,,,,,,,
20070210145009.mpg,,,,1.0,,,,,,,,,,,
20070223132319.mpg,,,,1.0,,,,,,,,,,,
20070503144341.mpg,,,,1.0,,,,,,,,,,,
20070717130915.mpg,,,,1.0,,,,,,,,,,,
20080222134400.mpg,,,,1.0,,,,,,,,,,,
20081117105729.mpg,,,,1.0,,,,,,,,,,,
20081125111907.mpg,,,,1.0,,,,,,,,,,,
20081215112334.mpg,,,,1.0,,,,,,,,,,,
20081223145927.mpg,,,,1.0,,,,,,,,,,,
20090123122828.mpg,,,,1.0,,,,,,,,,,,
20090123151554.mpg,,,,1.0,,,,,,,,,,,
20140822_131700.mp4,,,,1.0,,,,,,,9.0,37.0,4.0,1333.658913,Visually Impaired
20140905_132014.mp4,,,,1.0,,,,,,,12.0,45.0,5.0,1397.731809,Visually Impaired
20150829_104056.mp4,,,,1.0,,,,,,,26.0,45.0,6.0,895.1087758,Visually Impaired
20160525211416.mpg,,,,1.0,,,,,,,,,,,
2017-11-07_10-03-44_000.MOV,,,,1.0,,,,,,,3.0,15.0,1.0,1595.531581,Blind
2018-05-11_15-06-40_000.MOV,,,,1.0,,,,,,,1.0,11.0,0.0,1585.767255,Blind
2018-07-13_10-34-02_000.MOV,,,,1.0,,,,,,,2.0,17.0,1.0,1705.842921,Blind
2018-11-02_13-53-45_000.MOV,,,,1.0,,,,,,,8.0,29.0,5.0,955.6932607,Visually Impaired
2018-12-04_14-04-19_000.MOV,,,,1.0,,,,,,,6.0,9.0,0.0,1131.541662,Blind
2018-12-07_10-26-56_000.MOV,,,,1.0,,,,,,,7.0,13.0,2.0,968.9494164,Blind
2019-02-26_10-54-22_000.MOV,,,,1.0,,,,there is no enough data,,,24.0,41.0,9.0,819.2927292,Visually Impaired
2019-03-01_11-30-11_000.MOV,,,,1.0,,,,,,,29.0,26.0,3.0,783.6725024,Visually Impaired
2019-03-05_12-10-54_000.MOV,,,,1.0,,,,,,,17.0,48.0,3.0,924.9658846,Visually Impaired
2019-03-08_10-00-30_000.MOV,,,,1.0,,,,,,,1.0,16.0,0.0,1864.897016,Blind
2019-04-15_10-41-22_000.MOV,,,,1.0,,,,,,,4.0,15.0,0.0,1349.144257,Blind
2019-06-14_14-06-34_000.MOV,,,,1.0,,,,I guess it was actually column 3,,,9.0,25.0,3.0,945.4529086,Visually Impaired
2019-07-09_10-49-39_000.MOV,,,,1.0,,,,,,,7.0,34.0,2.0,1406.046023,Blind
2019-10-18_13-07-53_000.MOV,,,,1.0,,,,,,,10.0,26.0,1.0,1285.167152,Visually Impaired
2020-01-03_13-49-48_000.MOV,,,,1.0,,,,,,,3.0,22.0,1.0,1477.436062,Blind
2020-03-03_11-50-13_000.MOV,,,,1.0,,,,,,,5.0,27.0,5.0,1333.527951,Blind
2020-04-23_16-23-01_000.MOV,,,,1.0,,,,suspicious,,,20.0,21.0,5.0,812.1977822,Visually Impaired
2020-05-07_09-48-40_000.MOV,,,,1.0,,,,,,,25.0,58.0,9.0,1067.600717,Visually Impaired
2020-05-21_13-19-02_000.MOV,,,,1.0,,,,,,,32.0,30.0,8.0,621.0903663,Visually Impaired
2020-05-28_12-01-34_000.MOV,,,,1.0,,,,,,,14.0,32.0,5.0,1120.622424,Visually Impaired
2020-06-04_11-57-49_000.MOV,,,,1.0,,,,,,,6.0,24.0,3.0,1179.468634,Blind
2020-08-06_13-09-59_000.MOV,,,,1.0,,,,,,,10.0,37.0,5.0,1125.121176,Visually Impaired
2020-10-15_13-19-55_000.mov,,,,1.0,,,,slightly suspicions,,,5.0,18.0,2.0,1428.116613,Blind
2020-11-12_09-52-17_000.mov,,,,1.0,,,,no info at all,,,13.0,38.0,5.0,1097.813987,Visually Impaired
2020-11-13_13-24-51_000.mov,,,,1.0,,,,,,,31.0,39.0,4.0,1044.901751,Visually Impaired
2020-11-13_14-20-44_000.mov,,,,1.0,,,,,,,13.0,29.0,4.0,1120.316171,Visually Impaired
2020-12-10_10-20-58_000.mov,,,,1.0,,,,,,,43.0,66.0,12.0,999.1402643,Visually Impaired
2020-12-15_10-47-17_000.mov,,,,1.0,,,,,,,31.0,19.0,4.0,617.0138789,Visual
2020-12-17_16-40-35_000.mov,,,,1.0,,,,,,,27.0,48.0,10.0,825.3993454,Visually Impaired
2021-01-08_13-30-04_000.mov,,,,1.0,,,,,,,29.0,53.0,4.0,1027.099863,Visually Impaired
2021-03-19_10-24-57_000.mov,,,,1.0,,,,,,,38.0,78.0,13.0,1132.346778,Visually Impaired
2021-04-30_13-16-09_000.mov,,,,1.0,,,,,,,5.0,18.0,2.0,1196.317389,Blind
2021-06-29_10-18-12_000.mov,,,,1.0,,,,,,,24.0,42.0,8.0,955.3088765,Visually Impaired
2021-07-02_12-47-45_000.mov,,,,1.0,,,,,,,10.0,25.0,2.0,1193.923241,Visually Impaired
2021-07-06_10-57-46_000.mov,,,,1.0,,,,,,,35.0,32.0,6.0,705.6928472,Visually Impaired
2021-08-12_10-32-58_000.mov,,,,1.0,,,,,,,24.0,48.0,8.0,965.7843457,Visually Impaired
2021-08-16_11-49-15_000.mov,,,,1.0,,,,,,,15.0,36.0,6.0,1253.416201,Visually Impaired
2021-08-24_12-56-59_000.mov,,,,1.0,,,,,,,27.0,60.0,13.0,1220.225851,Visually Impaired
2021-09-23_11-22-50_000.mov,,,,1.0,,,,,,,37.0,80.0,16.0,1174.21485,Visually Impaired
2021-09-24_11-12-25_000.mov,,,,1.0,,,,,,,15.0,35.0,1.0,1118.328627,Visually Impaired
2021-10-11_17-12-55_000.mov,,,,1.0,,,,,,,28.0,57.0,4.0,1134.355562,Visually Impaired
2021-12-10_14-54-26_000.mov,,,,1.0,,,,,,,5.0,25.0,4.0,1489.665076,Blind
2021-12-14_11-05-54_000.mov,,,,1.0,,,,,,,37.0,81.0,23.0,1010.556388,Visually Impaired
2022-01-04_16-07-54_000.mov,,,,1.0,,,,,,,2.0,30.0,5.0,1509.985094,Blind
2022-02-25_11-34-14_000.mov,,,,1.0,,,,,,,11.0,39.0,4.0,1237.741036,Visually Impaired
2022-04-01_13-46-21_000.mov,,,,1.0,,,,,,,18.0,49.0,16.0,898.3088577,Visually Impaired
2022-04-22_12-34-24_000.mov,,,,1.0,,,,,,,13.0,24.0,4.0,948.9570375,Visually Impaired
2022-07-21_12-12-27_000.mov,,,,1.0,,,,,,,55.0,55.0,7.0,653.4869084,Visually Impaired
2022-10-07_10-21-01_000.mov,,,,1.0,,,,it passed it but i think it couldnt see well,,,8.0,35.0,5.0,1241.15443,Visually Impaired
2022-11-18_15-59-50_000.mov,,,,1.0,,,,,,,9.0,30.0,3.0,990.9239719,Visually Impaired
2023-06-13_09-27-56_000.mov,,,,1.0,,,,probably decreased. I guess,,,8.0,23.0,8.0,963.0769913,Visually Impaired
2023-09-12_11-25-07_000.mov,,,,1.0,,,,,,,9.0,38.0,5.0,1245.653966,Visually Impaired
