Filename,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
20131120_164243.mp4,42,114,7,1457.047225,Visually Impaired
20131123_105855.mp4,83,111,10,945.6420912,Visually Impaired
20140221_132236.mp4,39,136,19,1151.810789,Visually Impaired
20140515_123936.mp4,34,71,10,983.4022559,Visually Impaired
20140711_124858.mp4,57,98,12,892.4961946,Visually Impaired
20140822_131700.mp4,9,37,4,1333.658913,Visually Impaired
20140904_104612.mp4,74,107,13,1061.94878,Visually Impaired
20140905_132014.mp4,12,45,5,1397.731809,Visually Impaired
20141016_153628.mp4,5,32,2,1360.001096,Blind
20150116_130548.mp4,9,29,2,1349.22126,Visually Impaired
20150520_141835.mp4,29,79,14,1083.591593,Visually Impaired
20150829_104056.mp4,26,45,6,895.1087758,Visually Impaired
20150831_161350.mp4,48,43,10,409.8746703,Visually Impaired
20151016_114556.mp4,31,58,12,1006.269628,Visually Impaired
20151120_113326.mp4,37,63,10,1082.628988,Visually Impaired
2017-10-23_14-15-22_000.MOV,20,33,7,850.0669206,Visually Impaired
2017-11-07_10-03-44_000.MOV,3,15,1,1595.531581,Blind
2018-02-19_11-41-30_000.MOV,9,13,2,1184.713159,Visually Impaired
2018-03-06_09-19-39_000.MOV,7,15,1,1163.3575,Blind
2018-03-20_11-31-20_000.MOV,17,24,2,1063.143125,Visually Impaired
2018-04-06_12-13-43_000.MOV,10,18,0,1112.420968,Visually Impaired
2018-04-13_11-09-53_000.MOV,13,29,4,1342.989804,Visually Impaired
2018-05-11_15-06-40_000.MOV,1,11,0,1585.767255,Blind
2018-05-14_09-08-01_000.MOV,9,44,6,1559.128321,Visually Impaired
2018-05-14_10-59-29_000.MOV,5,28,7,1583.580169,Blind
2018-05-14_12-58-06_000.MOV,21,37,7,923.4328321,Visually Impaired
2018-05-15_10-45-55_000.MOV,10,27,3,934.4063991,Visually Impaired
2018-05-18_13-53-49_000.MOV,11,34,4,1255.90105,Visually Impaired
2018-07-13_10-34-02_000.MOV,2,17,1,1705.842921,Blind
2018-07-30_11-12-38_000.MOV,2,28,2,1727.014729,Blind
2018-08-03_10-19-05_000.MOV,2,20,0,1665.899785,Blind
2018-09-07_09-24-20_000.MOV,7,15,2,1029.6134,Blind
2018-09-07_11-03-09_000.MOV,7,35,8,1355.716165,Blind
2018-11-02_13-53-45_000.MOV,8,29,5,955.6932607,Visually Impaired
2018-11-09_15-17-04_000.MOV,29,31,5,625.8304182,Visually Impaired
2018-12-04_14-04-19_000.MOV,6,9,0,1131.541662,Blind
2018-12-07_10-26-56_000.MOV,7,13,2,968.9494164,Blind
2019-02-22_12-24-22_000.MOV,33,61,13,1050.792761,Visually Impaired
2019-02-26_10-54-22_000.MOV,24,41,9,819.2927292,Visually Impaired
