Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
17.wmv,,,1.0,,,,,,,,,,,,
20070227135000.mpg,,,1.0,,,,,probably it could see big objects,,,,,,,
20070302122033.mpg,,,1.0,,,,,doesn’t move at all,,,,,,,
20070308144052.mpg,,,1.0,,,,,,,,,,,,
20070309160804.mpg,,,1.0,,,,,,,,,,,,
20070311141354.mpg,,,1.0,,,,,,,,,,,,
20070312140305.mpg,,,1.0,,,,,,,,,,,,
20070420171115.mpg,,,1.0,,,,,,,,,,,,
20070503160507.mpg,,,1.0,,,,,,,,,,,,
20070710180307.mpg,,,1.0,,,,,,,,,,,,
20070719184219.mpg,,,1.0,,,,,,,,,,,,
20070719184337.mpg,,,1.0,,,,,,,,,,,,
20070720165025.mpg,,,1.0,,,,,,,,,,,,
20070921151336.mpg,,,1.0,,,,,,,,,,,,
20070928184618.mpg,,,1.0,,,,,,,,,,,,
20071105135154.mpg,,,1.0,,,,,,,,,,,,
20071116152500.mpg,,,1.0,,,,,,,,,,,,
20080102133723.mpg,,,1.0,,,,,,,,,,,,
20080107130144.mpg,,,1.0,,,,,,,,,,,,
20080111141736.mpg,,,1.0,,,,,,,,,,,,
20080131145638.mpg,,,1.0,,,,,,,,,,,,
20080214155214.mpg,,,1.0,,,,,,,,,,,,
20080219192259.mpg,,,1.0,,,,,,,,,,,,
20080221181159.mpg,,,1.0,,,,,,,,,,,,
20081031170854.mpg,,,1.0,,,,,,,,,,,,
20081104123844.mpg,,,1.0,,,,,,,,,,,,
20081106124343.mpg,,,1.0,,,,,,,,,,,,
20081106140817.mpg,,,1.0,,,,,suspicious,,,,,,,
20081117164112.mpg,,,1.0,,,,,,,,,,,,
20090105115951.mpg,,,1.0,,,,,,,,,,,,
20090108124601.mpg,,,1.0,,,,,,,,,,,,
20090109191210.mpg,,,1.0,,,,,,,,,,,,
20090120114621.mpg,,,1.0,,,,,,,,,,,,
20090123123012.mpg,,,1.0,,,,,,,,,,,,
20120406002638.mpg,,,1.0,,,,,,,,,,,,
20120601212758.mpg,,,1.0,,,,,,,,,,,,
20131123_105855.mp4,,,1.0,,,,,,,,83.0,111.0,10.0,945.6420912,Visually Impaired
20140904_104612.mp4,,,1.0,,,,,,,,74.0,107.0,13.0,1061.94878,Visually Impaired
20141016_153628.mp4,,,1.0,,,,,,,,5.0,32.0,2.0,1360.001096,Blind
20150116_130548.mp4,,,1.0,,,,,,,,9.0,29.0,2.0,1349.22126,Visually Impaired
20160525213136.mpg,,,1.0,,,,,,,,,,,,
20160527235156.mpg,,,1.0,,,,,,,,,,,,
20160528001053.mpg,,,1.0,,,,,,,,,,,,
20160612232630.mpg,,,1.0,,,,,,,,,,,,
20160710221331.mpg,,,1.0,,,,,,,,,,,,
20160828215838.mpg,,,1.0,,,,,,,,,,,,
2017-10-23_14-15-22_000.MOV,,,1.0,,,,,,,,20.0,33.0,7.0,850.0669206,Visually Impaired
2018-02-19_11-41-30_000.MOV,,,1.0,,,,,,,,9.0,13.0,2.0,1184.713159,Visually Impaired
2018-04-06_12-13-43_000.MOV,,,1.0,,,,,,,,10.0,18.0,0.0,1112.420968,Visually Impaired
2018-05-14_09-08-01_000.MOV,,,1.0,,,,,,,,9.0,44.0,6.0,1559.128321,Visually Impaired
2018-05-15_10-45-55_000.MOV,,,1.0,,,,,,,,10.0,27.0,3.0,934.4063991,Visually Impaired
2018-07-30_11-12-38_000.MOV,,,1.0,,,,,,,,2.0,28.0,2.0,1727.014729,Blind
2018-08-03_10-19-05_000.MOV,,,1.0,,,,,,,,2.0,20.0,0.0,1665.899785,Blind
2018-09-07_09-24-20_000.MOV,,,1.0,,,,,,,,7.0,15.0,2.0,1029.6134,Blind
2018-09-07_11-03-09_000.MOV,,,1.0,,,,,there is no enough data,,,7.0,35.0,8.0,1355.716165,Blind
2018-11-09_15-17-04_000.MOV,,,1.0,,,,,,,,29.0,31.0,5.0,625.8304182,Visually Impaired
2019-02-22_12-24-22_000.MOV,,,1.0,,,,,,,,33.0,61.0,13.0,1050.792761,Visually Impaired
2019-03-18_09-51-32_000.MOV,,,1.0,,,,,there is no enough data,,,9.0,20.0,4.0,1239.128892,Visually Impaired
2019-03-29_13-35-17_000.MOV,,,1.0,,,,,,,,27.0,74.0,22.0,818.4358718,Visually Impaired
2019-05-10_12-31-50_000.MOV,,,1.0,,,,,there is no enough data,,,23.0,29.0,4.0,858.9657507,Visually Impaired
2019-06-25_09-41-39_000.MOV,,,1.0,,,,,,,,15.0,64.0,17.0,1026.778064,Visually Impaired
2019-07-09_11-20-21_000.MOV,,,1.0,,,,,,,,7.0,19.0,4.0,915.3010195,Blind
2019-12-06_10-10-47_000.MOV,,,1.0,,,,,,,,26.0,25.0,3.0,706.9917125,Visually Impaired
2020-01-03_11-11-16_000.MOV,,,1.0,,,,,,,,5.0,23.0,3.0,894.2470795,Blind
2020-02-14_09-50-10_000.MOV,,,1.0,,,,,,,,13.0,52.0,16.0,1055.122668,Visually Impaired
2020-06-18_10-53-05_000.MOV,,,1.0,,,,,,,,27.0,42.0,9.0,870.9089788,Visually Impaired
2020-07-09_09-42-15_000.MOV,,,1.0,,,,,blind or with decreased sight,,,15.0,24.0,5.0,1074.161631,Visually Impaired
2020-07-14_13-26-52_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,3.0,18.0,6.0,1134.257267,Blind
2020-07-14_13-52-42_000.MOV,,,1.0,,,,,doesn't move. probably not blind but with decreased sight,,,25.0,32.0,6.0,836.6762342,Visually Impaired
2020-07-17_12-45-41_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,25.0,28.0,6.0,699.6194538,Visually Impaired
2020-07-23_10-04-15_000.MOV,,,1.0,,,,,,,,35.0,14.0,5.0,673.9404843,Visual
2020-10-15_16-07-29_000.mov,,,1.0,,,,,pretending that it can see someghint,,,27.0,28.0,5.0,707.8057552,Visually Impaired
2020-11-10_13-56-37_000.mov,,,1.0,,,,,"appears blind, but doesn’t move",,,32.0,56.0,10.0,782.9977472,Visually Impaired
2020-11-24_10-32-36_000.mov,,,1.0,,,,,,,,0.0,20.0,4.0,1065.832284,Blind
2020-12-10_09-38-28_000.mov,,,1.0,,,,,,,,52.0,70.0,13.0,873.0665763,Visually Impaired
2021-01-29_14-31-35_000.mov,,,1.0,,,,,,,,13.0,19.0,4.0,883.8852355,Visually Impaired
